Dataset,Category,Records,Signal_A_Accessibility,Signal_B_Vibrancy,Signal_C_Terrain,Signal_D_Community,Dataset URL
Footpath steepness,City Council,"33,585 records",●,·,●,·,https://data.melbourne.vic.gov.au/explore/dataset/footpath-steepness/
Tactile Ground Surface Indicator,City Council,357 records,●,·,·,·,https://data.melbourne.vic.gov.au/explore/dataset/tactile-ground-surface-indicator/
Footpaths,City Council,"12,222 records",●,·,●,·,https://data.melbourne.vic.gov.au/explore/dataset/footpaths/
Pedestrian Network,Transport,"85,326 records",●,·,●,·,https://data.melbourne.vic.gov.au/explore/dataset/pedestrian-network/
"Road segments, with surface type",Transport,"56,519 records",●,·,●,·,https://data.melbourne.vic.gov.au/explore/dataset/road-segments-with-surface-type/
"Street furniture including bollards, bicycle rails, bins, drinking fountains, horse troughs, planter boxes, seats, barbecues",City Council,"23,426 records",●,·,·,○,https://data.melbourne.vic.gov.au/explore/dataset/street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-/
Drinking fountains,City Council,302 records,●,·,○,○,https://data.melbourne.vic.gov.au/explore/dataset/drinking-fountains/
Public toilets,City Council,74 records,●,·,·,·,https://data.melbourne.vic.gov.au/explore/dataset/public-toilets/
Older People Profile 2016 (60 years and over),People,548 records,○,·,·,·,https://data.melbourne.vic.gov.au/explore/dataset/older-people-profile-2016-60-years-and-over/
Families with Children Profile 2016 (aged 0-12 years),People,671 records,○,·,·,·,https://data.melbourne.vic.gov.au/explore/dataset/families-with-children-profile-2016-aged-0-12-years/
Childcare centres,Business,29 records,○,·,·,●,https://data.melbourne.vic.gov.au/explore/dataset/childcare-centres/
Playgrounds,People,45 records,○,·,·,●,https://data.melbourne.vic.gov.au/explore/dataset/playgrounds/
"Landmarks and places of interest, including schools, theatres, health services, sports facilities, places of worship, galleries and museums.",People,242 records,○,·,·,●,https://data.melbourne.vic.gov.au/explore/dataset/landmarks-and-places-of-interest-including-schools-theatres-health-services-spor/
Pedestrian Counting System (counts per hour),Transport,"1,541,172 records",·,●,·,·,https://data.melbourne.vic.gov.au/explore/dataset/pedestrian-counting-system-monthly-counts-per-hour/
Pedestrian Counting System - Past Hour (counts per minute),Transport,"48,145 records",·,●,·,·,https://data.melbourne.vic.gov.au/explore/dataset/pedestrian-counting-system-past-hour-counts-per-minute/
Pedestrian Counting System - Sensor Locations,Transport,145 records,·,●,·,·,https://data.melbourne.vic.gov.au/explore/dataset/pedestrian-counting-system-sensor-locations/
Street lights with emitted lux level (council-owned lights only),City Council,"106,037 records",○,●,·,·,https://data.melbourne.vic.gov.au/explore/dataset/street-lights-with-emitted-lux-level-council-owned-lights-only/
